Scholarship Name,Provider,Amount,Eligibility ,Application Link
"Pm YASASVI Pre-Matric Scholarship Scheme For OBC EBC and DNT, Uttarakhand 2025-26",Government of Uttarakhand,"An academic allowances of up to ₹10,000 and other benefits","Other Backward Class (OBC), Economically Backward Class (EBC), and Denotified Nomadic Tribes (DNT) category students studying at the pre-matric level",https://www.buddy4study.com/scholarship/pm-yasasvi-prematric-scholarship-scheme-for-obc-ebc-and-dnt-uttarakhand-2025
"Dr. Ambedkar Medhavi Chatravriti Yojana for SC & OBC Students, Himachal Pradesh 2025-26",Government of Uttarakhand,"Up to ₹12,000 per annum",Class 10 passed students,https://www.buddy4study.com/scholarship/dr-ambedkar-medhavi-chatravriti-yojana-for-sc-and-obc-students-himachal-pradesh-2025
"Pre-Matric Scholarship Scheme for ST Students, Goa 2025",Government of Himachal Pradesh,"Award of up to ₹6,870 per annum",Students of Goa from the ST category,https://www.buddy4study.com/scholarship/pre-matric-scholarship-scheme-for-st-students-goa-2025
"NSP Centrally Sponsored Pre-Matric Scholarship Scheme for SC Students, Himachal Pradesh 2025-26",Government of Goa,"A consolidated academic allowance up to ₹7,000 per annum and an extra allowance for disabled students",SC Students of Class 9 and 10,https://www.buddy4study.com/page/himachal-pradesh-scholarships
"NSP Centrally Sponsored Post-Matric Scholarship Scheme for ST Students, Himachal Pradesh 2025-26",Government of Himachal Pradesh,"Up to ₹12,000 per annum",Students pursuing postmatric level of studies,https://www.buddy4study.com/page/himachal-pradesh-scholarships
"NSP Centrally Sponsored Pre-Matric Scholarship Scheme for ST Students, Himachal Pradesh 2025-26",Government of Himachal Pradesh,A scholarship of up to ₹525 per month and other benefits,Scheduled Tribe (ST) students of the state studying in Classes 9 and 10,https://www.buddy4study.com/page/himachal-pradesh-scholarships
"PM YASASVI Pre-Matric Scholarship Scheme for OBC/EBC/DNT Students (Class 9 and 10), Himachal Pradesh 2025-26",Government of Himachal Pradesh,"A consolidated annual academic allowance of ₹4,000",Students studying in Class 9 or 10,https://www.buddy4study.com/page/himachal-pradesh-scholarships
"PM YASASVI Post-Matric Scholarship For OBC, EBC and DNT Students, Himachal Pradesh 2025-26",Government of Himachal Pradesh,"An annual academic allowance of ₹10,000 and other benefits","OBC, EBC and DNT category students of the state pursuing post-matric level",https://www.buddy4study.com/page/himachal-pradesh-scholarships
"NSP Centrally Sponsored Post-Matric Scholarship Scheme For SC Students, Himachal Pradesh 2025-26",Government of Himachal Pradesh,"An academic allowance of up to ₹13,500 and compulsory non-refundable fees",Students studying in Class 11 to Postdoctoral level,https://www.buddy4study.com/page/himachal-pradesh-scholarships
"NSP Maharishi Balmiki Chatravriti Yojana, Himachal Pradesh 2025-26",Government of Himachal Pradesh,"₹18,000 per annum",Female students belonging to Balmiki family,https://www.buddy4study.com/page/himachal-pradesh-department-of-higher-education-scholarships
